,Lyrics
dna,"Fuck school, stole the scales outta chemistry class And made it all come back like memory lapse I'm in that matte-black 'Lac Strap under the floor mat A weatherman it be, I predict the forecast Shower any beat with the dirtiest vocab This was the 70s, I'd be a Savage Nomad Shirtless, wearin' a vest, stayin' warm by burnin' trash Give a toe-tag to a broke-ass To tote fast or slow pass Who ya think you're dealin' with? My résumé could kill a bitch Dealt with so much pain that I don't even know what feeling is Block of boarded houses, in-between 'em lie the killin' fields Been through so many raids, we treat that shit like it's a fire drill Mayday, mayday, sound the alarm No ice on my neck, but she love me for my charm Might sniff on the weekend and sip on some XO Back up in the bitch like I just fucked my ex hoe My vocal take a green beret Kill the verse, reboot the K Service when I word it, sweet enough to leave a tooth decay Over your charades, I gave my all like energy Heard your music, feel sorry for anybody that plays Or sways or even says that they like the shit Nigga, I'm far a hoe, but life's a bitch And if any other nigga got a problem with me I'll pull up on your playground at a quarter to three Muhfucker  Now who you think you're dealin' with? The flow Chinese arithmetic Trippin' if they get real nasty like black liquorice Always on some different shit Your whole style is impotent I ignore a whore like a email from LinkedIn I put you further in that hole that you're sinkin' in Mixin' Red Bull, listenin' to Minnie Riperton It's quite simple, I'm mental all over instrumental Detrimental to hit, lyrics is quintessential Fuck around and, ay, ay, make the, make money I whip they head, they gotta wrap it up like newborn's head (I whip ya head, boy) No, can't be continued Doc attendin' to you Take 'em down, makin' ya cold when I give it to ya Every day same shit, different porta-potty Fuck the game up, you niggas buzzin' like a tyke Bunch of Danny copies, but they trash is sloppy Mistake that for the real and you deserve a highway robbery"
bestlife,"With a bat, go dangerous on that cat Go Traxman, hit it from the back DJ Assault, bitch, let me bang Bruiser Brigade, we run that train Put that thang in her caboose Only way you hang is with a noose Beef with us, it ain't no truce Y'all niggas lame, y'all ain't like us Hanging with the devil off angel dust For that money, in God we trust All fall victim for greed and lust Who you 'pose to trust when guns gone bust? Living every day like it's the end Just waking up, feelin' like a sin Gotta keep a eye on your friends Cause everybody hungry in them streets Nigga rob ya grandma for something to eat Know it's fucked up, that's how it be Growing up living everyday in the D And it don't seem like shit gon' change No time soon in the City of Boom Doomed from the time we emerged from the womb So to cope, drugs we consume Here we go, now, here we go Ain't no water, how a flower gon' grow? Ain't no change, then how we gon' change? No umbrella, we stuck in the rain Dark clouds hanging all over our head No sunshine and them showers be lead Lighting up squares and them dots be red Now ya best friend gets shot in the head, damn  Oh, you ain't know that When it rain, when it pour, get your ass on the floor now Oh, you ain't know that, did you? Better duck when you hear them gunshots go off Pop off when them shots go off Knock off, you try to play me soft Glocks all in yo face, dog No baseball, better run home Hit ya lung, blood on yo tongue Exorcist, yo head get spun Exodus, I might forget Bitch, when it's time for your ass be done  You ain't heard it like this before They don't do it like this no more That get on up, that get on up That get on up, up on the floor You ain't heard it like this before They don't do it like this no more That get on up, that get on up That get on up, up on the floor  Oh, you ain't know that When it rain, when it pour, get your ass on the floor now Oh, you ain't know that, did you? When it rain, when it pour, get your ass on the floor now Oh, you ain't know that When it rain, when it pour, get your ass on the floor now Oh, you ain't know that, did you? When it rain, when it pour, get your ass on the floor now  Time for the percolator Murder music orchestrator Point blank hollow tip circulator Your ass lucky if you on respirator I'm like Vega rolling with that blade Kid don't play, wanna catch that fade? Shoot the house party up with them K's Shut down when we hit the DJ That Detroit shit, do the Rambisco Minks and Gators, pistol the disco Eating crawfish up in Fishbones Heater off safety, watching the Pistons Niggas get pissed on no-fly zone Call Uncle Trick when you hit my home Beef with him? Don't hit my phone D vs. everybody, ain't no song Coming from the city where them goons be lurking Get caught slipping, yo ass will be hurting That's for certain, yo ass be curtains Young niggas out there puttin' that work in On you scoring for a pair of Jordans Whole damn city probably got a couple warrants Why the county jail always stay crowded They don't give a fuck, they just go POP  Oh, you ain't know that When it rain, when it pour, get your ass on the floor now Oh, you ain't know that, did you? Better duck when you hear them gunshots go off Pop off and all them shots go off Knock off, you're tryna play me soft Glocks out in your face, dawg No baseball, better run home  You ain't heard it like this before They don't do it like this no more That get on up, that get on up That get on up, up on the floor You ain't heard it like this before They don't do it like this no more That get on up, that get on up That get on up, up on the floor  Oh, you ain't know that When it rain, when it pour, get your ass on the floor now Oh, you ain't know that, did you? When it rain, when it pour, get your ass on the floor now Oh, you ain't know that When it rain, when it pour, get your ass on the floor now Oh, you ain't know that, did you? When it rain, when it pour, get your ass on the floor now"
teatime,"  It ain't even a question will I pop off Hot like the chicken of the grease with some hot sauce Used to play the block with the Carhartt For breakfast it was blunts, bout to get a couple Pop Tarts Used to ride around with the heckler Lil' nigga on his grind, Ryan Sheckler Stash in the dresser So fuck a school lecture From professors Like a teacher I test ya Never smoke regular haze in a swisher Runnin' through snow like blades in the winter Now I treat beats like crack on broke mirrors Slow like a gem star, nothings been delivered And now you're all high So you can thank I Fuckin' with Brown cause I keep a good supply I know a lot of fiends that say they can't cry Cause they sniff so much that it dried out their eyes And that's real shit   ""They makin' money yo that shit is a waste"" ""While you lames tryin' to stay in the game we playin' to win"" -  ""Major players gettin' paper by the layers"" -  ""Sinnin' at the club in Detroit"" ""Now that's game, now I hope y'all listen cause"" -  ""Signed or unsigned, MC's get dealt with"" -  ""I've been too nice, too long""  You ain't gotta answer, ""Am I real nigga?"" I was sellin' crack back when it was Tommy Hilfiger Used to keep revolvers in the Nautica Now I just send a text, niggas come through, offin' ya Niggas blowin' horns at your burial Choir singin' loud and in stereo Your spirit's gone aerial Your family will miss you When we hit you Real nigga saw the bitch in you Different individual, not what you're used to One Danny Brown equal the whole Juice Crew Nigga you doo doo We all can smell it Chronic I smoke, I bail it then inhale it Pint of gram brew got a nigga on loose Shawty got a bubble and she said she comin' through Bitches on my dick cause a nigga so fly And I fuck so much when I nut my dick cry And that's real shit   ""They makin' money yo that shit is a waste"" ""While you lames tryin' to stay in the game we playin' to win"" ""Major players gettin' paper by the layers"" ""Sinnin' at the club in Detroit"" ""Now that's game, now I hope y'all listen cause"" ""Signed or unsigned, MC's get dealt with"" ""I've been too nice, too long"""
dopefiendrental," My Uncle offa Blow, nodding while he standing up Minute's been stuck like he picking something up Rolling up the swisher with the second near my nuts While I'm puffin on a Lucie, talkin bout the latest truck And Hi (how) I'm a come up and get one next summer So next summer won't be talking bout next summer Yo bitch is a runner, my niggas had fun with her Did the whole team and heard you put a gun to her Homie that ain't pimpin, soft hearted for these hoes I feeds em lots of pills, and put coke up in they nose Go to thrift stores, drop a buck on t-shirts Lines in the dressing room then she bought a cheap purse Straight up out the hut with some suburb hoes Expensive perfume and some new old clothes Cuss it ain't high end, ain't gotta be vintage She buy her own drinks and week supply of spinach   Now baby break it down just to build it back up Copped a couple pounds, then help me bag it up A pill and a half now a nigga acting up... Drunk too much, now a nigga throwing up But that was last night, nigga I'm still drinking Smoking on the purple got a nigga pupil shrinking Plotting on a Lincoln, get it with the ink pin You Fucking with me, my nigga what you thinking Your bars too immature this is grown man flow And that's why my bitches grown with some grown man dough You're fucking with them youngins, on the phone with them hoes I text a bitch a message now she knockin' at the door Naw that's the pill man, let me get four I swear this the last time, I won't do it no more But said that last week, and now a nigga back Fuck it, It ain't like a nigga smoking crack"
savagenomad," Niggas out here snitchin, do my dirt all by my lonely I been in the D so long that I don't even like Coney And you could never be my homie I'm a Linwood nigga that was raised up on bologna Say we over here (hustlin), over there (grindin) Calculator wrist watch, multiply my timing I be with your girlfriend, say she like my rhymin Dog, I shine so hard that I don't need no goddamn diamonds I'm up in Eastland, just to hit Lids Walked up in the store, you know just what I did Lookin at the wall, you know the other half Blue tiger fitted in a seven and a half   And I rocks that shit any climate and weather In my brand new blue tiger-fitted New Era And I reps that shit right now forever (Old English D on a blue New Era)   So fuck who you are I been in the D so long when outta town your store barred And you could never be my man Fuck a turkey on Thanksgiving niggas lucky to get ham An every hood I'm in niggas greet me with what up doe! We call fiends ""custo's"" freak hoes ""custo's"" If we say the hook then we really mean the po-po If we say that's bold then we mean that's fucked up, bro Niggas don't know gotta put 'em on the slang Out of town niggas lost hip 'em to the game You know where I'm from, no matter where I'm at Cause of the logo on my New Era hat     Ain't heard it like this in a while I been in the D so long that I don't go to Bell Isle Now do I look like your  If I ain't got no Newports I'm a freak a Black and Mild Say I'm riding down (7 Mile) bout to hit the Lodge You front I put a knife in you like you a shish-kebab Your baby mama slobber put my palm up on her bob She go (up down, up down) oh God We headin downtown, ridin through the tunnel Smokin on some  keep it a hundred Where the hood Crip niggas don't know how to act You look up in the car all you see is D hats  "
whenitrain," Drunk as fuck, high as shit, bitch suck my dick You ain't never seen a long dick I said a long dick I said a long dick, bitch You gone learn today, you gone learn today Pull it out and spray all on ya lingerie Call it a cum grenade, rub it on yo tummy (Shoulda never gave ya black ass some money!) Now I'm stomping all on yo couches Standing all on yo tables Ripping open yo bitch blouses Got my toungue all up in her navel The baddest mufucka 'round Hold my drink bitch I said bitch I'm Danny Brown Lemme get on my pimp shit I'm sniffing Adderall off yo china Shoes on in yo living room Got my elbows on ya table Left Swisher guts in yo dining room I'm all up in yo kitchen Lips on the orange juice bottle I done popped me an ecstasy pill So you know I'm tryna get higher Shouldn't of gave this nigga nothing Shouldn't of gave my black ass nothing, dog Remember when I was struggling? Caught the bus cause I was hustling Used to stack up to go to Hudsons Hid the work from my older cousin Hit my shit like it wasn't nothing Knew I wouldn't fight him so said fuck it   My pockets on dummy They say I'm acting funny Shouldn't of never gave my ass no money   Now I'm blowing on the best kush Shit be fucking my lungs up 2 packs of Newports a day And I used to just buy loosies tho Hoes all on my dick Them hoes ain't wanna fuck before But still I fucked them bitches But I just never call no more I'm all up in yo liquor cabinet Drinking whatever up in the bitch Took too many pills Now I'm throwing up in yo toilet I'm like aww shit I'm in the house of hip hop With my motherfuckin feet on the table Ran the phone bill up on the phone sex line And I even ordered porn on the cable Give a nigga from my hood a thousand He'll treat it like a 100 thousand, nigga Public assistance housing Mice all up in yo closet Keeping it G ain't bout where you from It's about where you gone be 'Cause ain't shit sweet when you living on the street And there's roaches crawling on your cheek  "
thewizard,Verbal couture Parkour With the metaphors The flow house of horror Dead bolted with metal doors Grinch bitch Six sense With a nose drip Mind skydive Sniffing bumps In the cockpit Locksmith of Hip Hop Appraisal the wrist watch The rocks bout the size As the teeth in Chris Rock's mouth Sock out the mic Prototype for Adderall Your work killing fiends Cause you cut it with Fentanyl So much coke Just to sniff need a ski lift Flip your table over If you cut it with the bullshit Nose bleeds red carpets But it just blend in Snapping pictures Feeling my chest being sunk in Live a fast life Seen many die slowly Unhappy when they left So I try to seize the moment  Funny how it happens Who ever would imagine That jokes on you But Satan the one laughing  Ain't it funny how it happens Ain't it Ain't it funny how it happens Ain't it Ain't it funny how it happens Ain't it  I can sell honey to a bee In the fall time Make trees Take back they leaves Octopus in a straight jacket Savage with bad habits Broke serving fiends Got rich became a addict Ain't it funny how it happens Who would ever would imagine Nose running right now Could ya pass me a napkin Managed to somehow To have the upper advantage Panic when the drugs are gone And nobody is answering Ain't it funny how it happens Ain't it Ain't it funny how it happens No way to mask it A lot became has beens Rolling up that 100 dollar bill Till they cash in Thinks it gone last Going too fast Man it's fucked up Ain't it funny how it happens  Ain't it funny how it happens Ain't it Ain't it funny how it happens Ain't it Ain't it funny how it happens Ain't it Ain't it funny how it happen  Upcoming heavy traffic Say ya need to slow down Cause you feel yourself crashing Staring in the devil face But ya can't stop laughing Staring in the devil face But ya can't stop laughing It's a living nightmare That most of us might share Inherited in our blood It's why we stuck in the mud Can't quit the drug use Or the alcohol abuse Even if I wanted to Tell you what I'm gonna do I'ma wash away my problems With this bottle of Henny Anxiety got the best of me So popping them Xannies Might need rehab But to me that shit pussy Pray for me y'all Cause I don't know what coming to me Bought a 8 ball of coke And my nigga on the way Got 3 hoes with him And they all tryna play  Ain't it funny how it happens Who ever would imagine Jokes on you But Satan the one laughing  Ain't it funny how it happens Ain't it Ain't it funny how it happens Ain't it Ain't it funny how it happens Ain't it
browneyes,"30! Colder than them grits they fed slaves Me to rap is like water to raves AK's with bayonets on deck Rep my set Sorta like Squidwird and his clarinet I'm in ya bitch mouth But she just fantasizing Staring at my skinnys siad it's so tantalizing Dog I'm strategizing plotting on throne The masta of the ace sitting on chrome Dark nights tryna sleep stomach on fire Delusional from hunger so I couldn't get tired Imaging the equalizer goin from green to red Words that rhyme together just appear all in my head Sorta like Neo with them Matrix codes I try to escape it hoping drugs a numb a soul Say I'm getting old and times running out Repeating instrumentals tryna figure patterns out I never leave the house ain't slept in three days Popping pills, writing, drinking and smoking haze Weaving the kicks and snares dodging hooks Tryna keep it original something that's overlooked Way a nigga goin might go out like Sam Cooke Or locked up calling home for money on my books Cause if this shit don't work nigga I failed at life Turning to these drugs now these drugs turned my life It's the downward spiral, Got me suicidal But too scared to do it so these pills a be the rival Surpassing all my idols Took the wrong turn But can't go back now so now let that blunt burn Cause now it's my turn if I fuck it all up Took a while to get here now I depend on these drugs I took a while to get here now I depend on these drugs Triple X"
newera,"I don't wanna rep with ya Molotov the studio, hot tracks nigga I sip liquor with bitches that owe tuition After this they kiss n' strippin in the 69 position And I came a long way from the dirty matress flippin Malnutrition, now I'm comming in thuition So fuck your superstitions I'm with a cooler  I've got that  crip vs piru adrenaline With the mind of einstein, that collumbine Like jefferson fist fighting with eddison I knock your lights out I take a shit in the white house and don't flush Then pull my dick out on oprah... Be like ""I gotcha bitch"" Now that's real talk not fucking Dave Chappelle skits And I bet you she be wetter than some whale piss I put it in her pelvis and now I'm eating sword fish Blowin circles of purple knowing nothin's for certain Fuck the wiser surgeon bust a nut on their curtains Everyday always stay on the low like I'm thirsting Niggas handcuffin nurses and buyin em' purses Fuck buyin em burkins they worthless like cursive My purses is purchest I'm the one that they flirt with The surface is circus clowns My verses is curses I cop it and break it down The workers are chirpin Leader of the newschool in an old school Niggas tofu, bruise off the pro-tools Rep my alanski loosing all his sanity, layin on a canopy Thinkin how it can be Player hating niggas allways blocking like Camby Take the mocho out of man now he's just a randy Blowin on the candy  Adderals and zanny Always come in handy, yeah I'm on the streets like a wino I see that pussy just like a  Got these bitches chargin head first like rhino Remember when they used to rock madana's with the rhynestones Now they lookin like the shitted out a pinecone Diamond in the ruff been found and it's a fine stone Fine two flow going over heads ho Mind been blown ever since she gave me head ho"
shouldntof,"Used to get domed up by crackheads, And still got my balls licked by pretty bitches, Sack n the Scottie Pippen's, Kid on the Gotti mission, But seen his down fall is your best friend snitching I'm in the kitchen with the mcspoon and lactose, Rat bitch rubbing on her titties on the row Nigga come down, listen for the doe, I know my baby momma bet not call no mo, Bitch talking Pampers, no she's full of shit, Impossible for babies 2 take that many shits. Rapping about bricks but I ain't never seen one, I think I've seen like three hundred bo's once, Fuck 'em with 'em addicts, holding automatics... Dog I ain't lying even served a Dramatic, Used to bring the lettuce then I had to dead it Ass tried to song every time he wanted credit   And I'm trying to make re-up Fuck around, put a G-up And blow a blunt with my man, See I'm just trying to make re-up. Fuck around and put a g-up, And drink a fifth for my niggas, See, I'm just trying to make a re-up. Fuck around, put a G-up And blow a blunt with my man, See I'm just trying to make re-up. Fuck around and put a g-up, And drink a fifth for my niggas!  Christmas every year come faster and faster New Year come around claim my baby on your taxes. Dog I kno connects, you middleman taxing, 3 gram dimes of green, u was rocking chloe glasses Did for the Jordans for what you feel important I'm 02 my weed increased the dropout rate at northern, Senior bitches skipping, get em weeded out, And take her in the back room, my nigga smut em out, Hoodrat bitches putting blunts in they mouth, Smoke some weed, order coney time 2 fuck it out, Rock a fit 4 3 days then go and cop a new one, Rode a bike to linwood just to give away my ones, Hopping out the cab and when I step out, First thing they say I ain't kno them came out, But nigga I ain't trippin I'm grinding on a few bucks, Really ballin and I'm trying step it up.   And I'm trying to make re-up Fuck around, put a G-up And blow a blunt with my man, See I'm just trying to make re-up. Fuck around and put a g-up, And drink a fifth for my niggas, See, I'm just trying to make a re-up. Fuck around, put a G-up And blow a blunt with my man, See I'm just trying to make re-up. Fuck around and put a g-up, And drink a fifth for my niggas!"
aintitfunny," I was born one day before Saint Pat I guess a nigga miss luck just like that Henry Ford, not even one mile from Motown Explains all the soul that you hear in my sound A ten minute ride to Linwood, I begun My mama first son, look what I just become A weedhead with words more potent than what I'm smoking This ain't no Reggie caught the plane ride from Oakland I used to play with pistols in crackhouses Skiping school just to fuck bitches on dirty couches, abandoned houses Find one with the lights on it Landlord came pulled the hook and locks on it Money I'm plotting on it I put the block on it I'm gonna get it, four deep, no shocks on it We sit low, rep the D cause it's all I know And my name rings bells in any hood you go   You're from the East Side You're from the West Side You're from the North End Are you from South West   Around first grade, we move to the East Side Was like throwing rocks at a beehive A lot of niggas gone over something unimportant That it ain't worth mentioning cause it's unfortunate Like stick a fork in it, where's the enforcement? Walking off the grass just to sit on niggas porches Passing round 40's, brown paper bags Rolling up a swisher while this rat freak a black It ain't about nothing, but let me hold something Ate a lunchable for dinner, nigga I'm ain't fronting Caught the bus to East land, just to walk around it Ain't buy nothing nigga, just walked around it Looked at some hoes, I ain't even holler Cause I'm broke as fuck and they is all about a dollar I'm living in the city where the weak get swallowed Belly of the beast, we don't care about tomorrow I'm living in the city where the weak get swallowed Belly of the beast, we don't care about tomorrow  "
xxx,Sent ya bitch a dick pic and now she need glasses Turn a bitch slick rick now if I flashed it Ate a couple pills took the bud out the plastic Flicking cigarette ashes bitch I stay blasted Microphone Cassius Magic with the sick shit Said I post to been dead But bitch I'm still up in this bitch Verbal herbal poison Words I cortisone Fucked pregnant bitch Save money on her abortion I feel like Billy Corgan In a church playing the organ Covering too short Smoking a Newport Hurt hoping drugs a help the pain a go away And all these thoughts in my head made the sane go astray Step inside a mind That revolves around the rhyme And he close his eyes see visions of white lines Dying in the arms of a blond blue eyed 20 something Don't know her name now the paramedics chest pu 30 something black male OD'ed off pills that he wasn't prescribed But they took his life Let behind a daughter that doesn't really even know him Because her momma thought he wouldn't make a living off them poems But it was a long journey on a rocky road Had a hoody and a jacket on the bus in snow Walking in the cold on the way to the studio Smoking on a loosey that was just a couple yrs ago Dropped a couple free mixtapes on the net And niggas tried to front like it wasn't all that But guess what bitch I'm coming back Guess what bitch I'm coming back Signed to fools gold and everything's all gnarly Bitches want my number just to get up in party Came along way from extension cords in the window Borrowing neighbors power just to plug up the Nintendo Where the ovens never closed and stoves never off Every winter so cold niggas sleeping scarves But I would always tell myself that this shit of get better You know who you is you the greatest rapper ever So now the pressures on em to prove that voice right Some people never know they goals he know his whole life So now his turn up fixing up to bat Pitching singles to the label when I use to pitch crack Never learned to rap I just always knew how So ever since 8 I knew what I would now When I turned 28 they like what u gone do now And now a nigga 30 I don't u heard me So the last ten years I been so fucking stressed Tears in my eyes let me get this off my chest The thought of no success it got me chasing death Doing all these drugs in hopes of OD'ing next Triple X
radiohead," Remember one time, dawg This fiend owed the boss Put Peanut Butter on her pussy Let his pits lick it off Back when I was living on Flanders Seen another dope fiend beat another with a hammer Remember at the park, seen a nigga at a payphone. Got rocked in his dome Momma picked me up and ran home Was like fucking seven years old When I first seen a fiend try to light a rock off the stove Damn near burned his top lip off So my mind ticked off Desensitized to a lotta things Mind would drift off Wish it was what I seen on tv I snapped outta that Unc beating on my auntie. Gunshots outside Was sorta like fireworks We know they gained fireworks It's december 21'st Cold winter with a kerosene heater On the couch so cold, can't take off your sneakers   And it's torture Look in my mind and see the horrors All the shit that I've seen Nigga, it's torture Look in my mind and see the horrors All the shit that I've seen Nigga, it's torture Look in my mind and see the horrorss All the shit that I've seen   I feel like a prisoner of war Reacting sporadically to what the mind absorb Probably need a shrink Can't get a wink So I smoke a lot of kush and pop a Xanax to sleep Close my eyes, look up, fiend said 1 for 8 Can tell that I scared him by the look on my face Reached in my pocket served him nervous as a surgeon Can't believe where I'm at 'pose be writin' verses Heard a knock at the do' 'Nother fiend wanted fo' Gave him what he came for Told him go to the sto' Lemme get a box a box of Swishers, Faygo Cola Gave his ass another stone now guess what it's over He ain't come back Before I could look back I heard the wood on the door crack And they yelling police With this work up in my jeans man this a bad dream  "
reup,Watch who you 'round Gotta watch they mouth When them guns come out And them shots ring out You know what they about Watch what they say Watch what they do When a hook come around Them kids come down They a tell on you It's snakes in the grass Getting trapped by rodents Potent we smoking A leave you choking Hoping you focused So dog take notice For a flash of light Run you off light roaches Hopping off porches With chrome 44 Nose long as song Made by Mike Bolton Lightning bolts Rip through your torso Raining blood After that thunder Mommas crying Children wonder But this is the life That we all succumbed to Make a nigga wanna go And cut his phone off Cops killing niggas everyday Like protocol Watch the TV Turn on the news Make a nigga feel like He listened to blues In the hood Wit that Arm & Hammer Getting them Pampers For baby mama Hood flick us We in the slammer Now ya baby raised By another man bruh Cure for cancer Cure for A.I.D.S Make a nigga Wanna stay on tour for days Everywhere you go Gotta keep that tool Cause you don't want end up Happening to you So everywhere u go Gotta keep that tool Cause you don't want it end up Happening to you  Today today today I say you never never never know When ya time to go I say you never never never know When ya time to go So damn right I cheated Today today today I say you never never never know When ya time to go I say you never never never know When ya time to go So damn right I cheated Today today today I say you never never never know When ya time to go I say you never never never know When ya time to go So damn right I cheated Today today today I say you never never never know When ya time to go I say you never never never know When ya time to go So damn right I cheated Today today today Today today today  Gotta watch these niggas Better watch these niggas Cause for a little bit of crumbs When you trapped in the slums They a pop you nigga Watch where you go Watch where you at Cause goons on attack And that's a fact You don't want it like that Niggas get bodied like everyday Nigga masked up like masquerade Bruiser Brigade Nigga take this fade Or get marked out Like crossword game For a little name Nigga pop yo chain Playing no games Evict arcade Trade in your life For a pair of new J's A-OK with them AK's Broad daylight Make you do a relay Duck behind cars When you hear the tool spray You don't want beef Get simmer soufflé Sitting in the Bimmer With ya lightskin bae Fuck all the tough shit I'm tryna get paid You ain't bout money Nigga you the same way End of the day Nigga jail the new slave Trust my nigga You don't wanna go that way  Today today today I say you never never never know When ya time to go I say you never never never know When ya time to go So damn right I cheated Today today today I say you never never never know When ya time to go I say you never never never know When ya time to go So damn right I cheated Today today today I say you never never never know When ya time to go I say you never never never know When ya time to go So damn right I cheated Today today today I say you never never never know When ya time to go I say you never never never know When ya time to go So damn right I did it
ewnesw," Always wanna go Always tell her yes, Never tell her no I know you think you know everything but don't Really wanna do the right thing but won't So you chase the nightlife blinded by the lights The bottom of a empty glass is where she find life Always left behind cause she think she always right Thinking that she grown she don't need your advice But always in situation that she needs your help But wouldn't help another only care her about herself In ya vip asking where the drink at Calling her a groupie you'd think she'd really think that She just wanna hear that that ass look right What you doing after this fuck tomorrow night Wanna snort blow? Pop a lotta pills? Fucking when the sun come up but don't feel   She want to party all the time, party all the time She want to party all the time, She want to party all the time Party all the time, She want to party all the time   Skip semester, class is a past Say she goin back but she ain't goin back Cause time ain't waiting for a future on hold At glass tables on her knees sniffing coke Tell her get a hold, grip on life Rather fill her cup up liquor with no ice Twice had an abortion Young, dumb misfortune Rate that going she might be whoring Signs she ignoring but doesn't recognize Blind to what's occuring what's goin on in ya mind Seven days a week same shit every morning Calling her a cab from different niggas apartment Wanting her to change but she won't, dog Just another number in her fucking call log Lost in the fog, head in the smoke Laughing at the world cause her life is a joke  "
30," I blow three blunts before lunch and turn a rapper into dinner Serve the east side taught me Bel-Air Shopping Center The west side, these niggas call me Green Field Plaza You ain't got no connect nigga, you coppin' from El Blaga Continue on the saga Your mouth is Fierce as Sasha Makin' millions off the girls, I'm Beyonce's father I'm sittin' in the Charger You niggas Lady Gaga Left my car charger, CD changer no Carter Dwayne or Shawn, Sean Price mixed with Lil' Jon Off the fifth of rum Piff in my lungs Fuckin' two Asian bitches till they couldn't cum And when them hoes squirt it's like Hong Kong Wonton They said, ""Oh my, biggest dick I've seen."" Showed her on the webcam, she start lickin' the screen Next week we party puttin' coke all up in her nose Just me, my nigga Luke and a house full of hoes   And it's coke on the corner Guns in the closet Pills on the table Blowin' on exotics Money on the mantle Fuck direct deposit Old school Chevy next year we roll exotics   That cutty steering wheel all wood like a beaver bed Your bitch neck move faster than cheetah legs Nike 6.0's look like Zebra heads Wack MC's, I eat 'em like pita bread Rappers I voicemail your best bitch In the hood, hoes give me more throat than neck strength All I want is money Cash no checks I swear the sight of kushy makes her pussy so wet (I say) My flow cold as the walls in the precinct I'm a monster Eat pussy like Wheat Thins I'm a rock star Without a guitar My chocolate melts in your girl mouth, Mr. Goodbar (And its) Weed on the corner Guns on the target Shawty goin' crazy, sniffin' coke in the closet While I'm sittin' on the toilet puffin' on exotics Bitch busts in the bathroom and fuckin' vomits  "
torture,"Clock tickin', oh you can't beat playin' Know what I'm sayin'? Gotta get it how you live, no delayin' Know what I'm sayin'? Times hard, no, you can't give up Know what I'm sayin'? Like bad luck, never give in, naw Know what I'm sayin'? World'll shame, you the best, no less Know what I'm sayin'? Know life gon' put you to the test Know what I'm sayin'? Play it like you family, no less Know what I'm sayin'? Know God gon' put you to the test Know what I'm sayin'?  My guy, you no walk, you no jog My guy, you big boss, you so bad You see this time wait for nobody My guy, just hold your composure And when you're down it gets cold, I know, uh My guy, don't stop now, keep movin' My guy, don't stop now, keep movin' We're movin'  Hands dirty, 'cause I got it out the mud Know what I'm sayin'? Backstabbed by somebody you love Know what I'm sayin'? Everybody out here for theirselves Know what I'm sayin'? You really think somebody else cares? Know what I'm sayin'? If it wasn't for that, wouldn't be this Know what I'm sayin'? To get rich you gotta take a risk Know what I'm sayin'? On my own two, you know I gotta stand Know what I'm sayin'? They say chances gotta make a champion Know what I'm sayin'?  We don't know nothin', but I do know this Don't know nothin', but I do know this Don't know nothin', but I do know this Don't know nothin', but I do know this  My guy, you no walk, you no jog My guy, you big boss, you so bad You see this time wait for nobody My guy, just hold your composure And when you're down it gets cold, I know, uh My guy, don't stop now, keep movin' My guy, don't stop now, keep movin' Keep movin'  We're movin' We movin' We movin' We movin'"
today,"I done moved a lotta stones but I ain't an Egyptian I made work disappear but I ain't a magician I seen fiends lose weight offa crack nutrition I get them checks on the first like a monthly subscription They holla at me every day because they need their prescription I'm like a male cheerleader: white girls are flippin' Make Christians lose religions off the shit that I'm spittin' I got families diminishin' offa what I'm distributin' Finishin' the gimmicks with the shit I'm deliverin' You're about to go fast like Thanksgivin' chit-er-lins Don't end up a memory, niggas just rememberin' Death anniversary, pourin' out some beer again True Religion jeans with the laced up Timberlands Bucket seats, bucket hat low like Gilligan Hit your baby momma, left her panties on the ceilin' fan Sent her to voicemail, but she gonna call again Brown done came up and he won't fall again Spittin for the hustlers cause the words are the empowerment Smarter than those white boys in Ivy league colleges But I used to move work to white boys in colleges  Most you rap niggas lyin' like a horoscope Homie you homo like the Rocky Picture Horror Show Seats in the Chevy same color as a kiwi skin Voice of the hood, you rap niggas is CNN 28 grams on my Grandma's saucer Heater on the waist, box cutter in the parka Fiends at the door, Cold D up in lockup Smokin' on ganja, sippin' java from Starbucks Chillin' with chicken, roll gan out dey purses Browntown served more niggas than churches Die for your rhymes, then you wouldn't be worth shit But to me it's real because I live my verses No water in the house, underarm must Puttin' water in the toilet just to make the fucker flush I live too real for a movie Smokin' gan same color as a coochie  Detroit. Streets. City. Broadcaster. Nigga  Ha!"
